"countryname","year","lifeladder","loggdppercapita","socialsupport","healthylifeexpectancyatbirth","freedomtomakelifechoices","generosity","perceptionsofcorruption","positiveaffect","negativeaffect","code","house_price","ptr_ratio","r_house_price","rent_price","gini","life_expectancy","social_expenditure","housing_expenditure_ratio","ownership","pri_ratio","employment_rate","idcode","gini_dum","social_expenditure_dum","gini_dum_int","socialexp_dum_int","owner_dum","owner_dum_int","gini_dum_int_sq","soci_ex_2"
"Czechia",2013,6.698,10.424,0.88800001,68.059998,0.72600001,-0.162,0.91600001,0.65600002,0.25299999,"CZE",93.900002,95.5,95.5,98.300003,0.259,78.300003,21.033001,27.665178,77.900002,100.4,67.724998,"Czechia",1,1,0.259,21.033001,1,77.900002,0.067081004,48.4
"Czechia",2014,6.4840002,10.445,0.87800002,68.18,0.80000001,-0.17399999,0.89700001,0.63800001,0.235,"CZE",96.199997,97,96.699997,99.199997,0.257,78.900002,20.457001,26.527071,76.5,98.900002,68.974998,"Czechia",1,1,0.257,20.457001,1,76.5,0.066049002,47.1
"Czechia",2015,6.6079998,10.496,0.91100001,68.300003,0.80800003,-0.152,0.88599998,0.68900001,0.206,"CZE",100,100,100,100,0.258,78.699997,19.673,26.244638,75.400002,100,70.224998,"Czechia",1,1,0.25799999,19.673,1,75.400002,0.066563994,45.9
"Czechia",2016,6.7360001,10.519,0.93099999,68.425003,0.85000002,-0.204,0.89999998,0.70999998,0.20100001,"CZE",107.2,105.9,106,101.2,0.253,79.099998,19.315001,26.095459,75.300003,103.1,71.949997,"Czechia",1,1,0.25299999,19.315001,1,75.300003,0.064008996,47.5
"Czechia",2017,6.79,10.567,0.90100002,68.550003,0.83200002,-0.183,0.86699998,0.67199999,0.227,"CZE",119.7,115.8,115,103.4,0.249,79.099998,19.370001,25.912025,75.599998,106.7,73.625,"Czechia",1,1,0.249,19.370001,1,75.599998,0.062000997,48.5
"Czechia",2018,7.0339999,10.595,0.92900002,68.675003,0.79000002,-0.29899999,0.85100001,0.67400002,0.178,"CZE",130,122.1,121.4,106.4,0.249,79.099998,19.525,26.516785,75.400002,108.1,74.824997,"Czechia",1,1,0.249,19.525,1,75.400002,0.062000997,47
"Denmark",2012,7.52,10.844,0.95099998,69.839996,0.93300003,0.133,0.18700001,0.78299999,0.20900001,"DNK",86.699997,91.800003,88,94.5,0.249,80.199997,32.105,29.528814,54.400002,91.800003,71.025002,"Denmark",1,1,0.249,32.105,1,54.400002,0.062000997,52.1
"Denmark",2013,7.5890002,10.849,0.96499997,70.059998,0.92000002,0.20900001,0.17,0.82599998,0.19499999,"DNK",90.099998,93.400002,90.800003,96.5,0.254,80.400002,32.779999,30.028486,54.700001,93.699997,70.775002,"Denmark",1,1,0.25400001,32.779999,1,54.700001,0.064516,53.8
"Denmark",2014,7.5079999,10.86,0.95599997,70.279999,0.94199997,0.112,0.237,0.77999997,0.233,"DNK",93.5,95.199997,93.599998,98.099998,0.256,80.699997,33.042999,29.536896,53.900002,96.900002,71.099998,"Denmark",1,1,0.25600001,33.042999,1,53.900002,0.065536007,54.4
"Denmark",2015,7.5139999,10.876,0.95999998,70.5,0.94099998,0.21600001,0.191,0.801,0.21799999,"DNK",100,100,100,100,0.263,80.800003,32.610001,29.269659,53.299999,100,71.974998,"Denmark",1,1,0.26300001,32.610001,1,53.299999,0.069169007,55
