Country.name,year,Life.Ladder,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Positive.affect,Negative.affect,code,house_price,pri_ratio,ptr_ratio,r_house_price,Rent_price,employment_rate,gini,life_expectancy,social_expenditure,housing_expenditure_ratio
Iceland,2012,7.591,10.788,0.979,71.6,0.905,0.235,0.759,0.817,0.157,ISL,80.6,93.4,95.7,86.3,84.2,79.675,0.252,83,23.521,24.63734223
Iceland,2013,7.501,10.823,0.967,71.7,0.923,0.299,0.713,0.802,0.156,ISL,85.2,94.2,94.2,88,90.4,81.1,0.24,82.1,23.207,24.53481799
Iceland,2015,7.498,10.862,0.98,71.9,0.94,0.294,0.639,0.794,0.18,ISL,100,NA,100,100,100,84.725,0.257,82.5,22.774,24.02344829
Iceland,2016,7.51,10.909,0.985,71.925,0.952,0.274,0.719,0.808,0.158,ISL,109.8,NA,105.2,108.7,104.3,86.525,0.264,82.2,22.785,22.98092414
Iceland,2017,7.476,10.927,0.967,71.95,0.939,0.24,0.727,0.823,0.148,ISL,131.2,NA,121.1,131.1,108.3,86.1,0.25,82.6,24.122,22.9254644
Iceland,2019,7.533,10.943,0.982,72,0.959,NA,0.699,0.787,0.178,ISL,148.3,NA,123.2,137.8,120.4,84.1,NA,83.2,25.57,23.42484981
Iceland,2020,7.575,10.852,0.983,72.025,0.949,0.152,0.644,0.808,0.172,ISL,157.8,NA,126.6,141.8,124.6,80.3,NA,83.1,NA,26.65358
Iceland,2021,7.565,10.878,0.98,72.05,0.923,0.257,0.664,0.806,0.159,ISL,177.6,NA,138.2,154,128.5,79.75,NA,83.2,NA,25.15896181
Ireland,2012,6.965,10.89,0.962,70.34,0.902,0.295,0.573,0.721,0.237,IRL,76,79.3,75.4,79,100.8,59.9,0.31,80.9,23.048,22.99009287
Ireland,2013,6.76,10.896,0.955,70.46,0.884,0.325,0.558,0.744,0.245,IRL,77,81.2,77,78.8,100,61.75,0.312,81,21.812,23.17909767
Ireland,2014,7.018,10.971,0.968,70.58,0.922,0.257,0.406,0.736,0.229,IRL,89.7,93.8,90.4,90.6,99.3,63.125,0.298,81.4,20.092,23.27659358
Ireland,2015,6.83,11.18,0.953,70.7,0.892,0.226,0.409,0.748,0.225,IRL,100,100,100,100,100,64.7,0.298,81.5,15.196,24.09048925
Ireland,2016,7.041,11.189,0.958,70.8,0.875,0.169,0.399,0.744,0.211,IRL,107.5,103.7,104.7,106.6,102.7,66.425,0.309,81.7,15.13,23.85642755
Ireland,2017,7.06,11.264,0.943,70.9,0.905,0.21,0.337,0.771,0.213,IRL,119.2,109.3,111.8,116.9,106.6,67.575,0.295,82.2,14.181,24.69556687
Ireland,2018,6.962,11.334,0.938,71,0.861,0.138,0.362,0.754,0.213,IRL,131.4,117.3,118.1,127,111.3,68.475,0.292,82.2,13.519,25.63793012
Ireland,2019,7.255,11.373,0.944,71.1,0.892,0.067,0.373,0.758,0.223,IRL,134.4,113.8,115.5,127.8,116.4,69.45,0.293,82.8,12.868,25.76317474
Ireland,2020,7.035,11.423,0.96,71.2,0.882,0,0.356,0.753,0.246,IRL,134.8,110.5,114.9,128.3,117.4,66.55,0.282,82.6,NA,29.28396953
Ireland,2021,6.828,11.54,0.85,71.3,0.846,0.131,0.36,0.733,0.245,IRL,146,114.9,121.1,135.1,120.5,69.825,0.291,82.4,NA,28.18669067
Israel,2012,7.111,10.487,0.903,71.56,0.681,0.147,0.862,0.611,0.319,ISR,81.4,91.2,86.2,83,94.5,66.5,0.371,81.8,15.409,23.69305257
Israel,2013,7.321,10.512,0.909,71.64,0.739,0.145,0.849,0.649,0.409,ISR,88.8,94.5,92,88.7,96.6,67.05833,0.36,82.1,15.456,23.76720695
Israel,2014,7.401,10.531,0.889,71.72,0.707,0.088,0.818,0.567,0.271,ISR,94.5,96.9,96,93.9,98.4,67.86667,0.365,82.2,15.451,24.14682066
Israel,2015,7.079,10.536,0.864,71.8,0.753,0.103,0.789,0.652,0.256,ISR,100,100,100,100,100,68.31667,0.36,82.2,15.475,24.49584325
Israel,2016,7.159,10.56,0.89,71.95,0.772,0.147,0.804,0.602,0.263,ISR,107.5,104.6,106.1,108.3,101.3,68.575,0.346,82.5,15.495,24.28742312
Israel,2017,7.331,10.583,0.916,72.1,0.768,0.138,0.793,0.621,0.276,ISR,111.6,NA,108.6,112.4,102.9,69.025,0.344,82.7,16.131,24.5306802
